	21779	27471	32399	509658	516575	Total
zealand	0	0	0	1	0	1
francias	0	0	0	1	0	1
vertical	0	0	0	1	0	1
ss	0	0	0	1	0	1
rw	0	0	0	1	0	1
craa	0	0	0	1	0	1
beacons	0	0	0	1	0	1
hatewatch	0	0	0	1	0	1
generational	0	0	0	1	0	1
block	0	0	0	1	0	1
hoping	0	0	0	1	0	1
hasraid	0	0	0	1	0	1
swiss	0	0	0	1	0	1
swizerland	0	0	0	1	0	1
swis	0	0	0	1	0	1
biscuit	0	0	0	1	0	1
soggy	0	0	0	1	0	1
mexio	0	0	0	1	0	1
nother	0	0	0	1	0	1
tema	0	0	0	1	0	1
singular	0	0	0	1	0	1
deserves	0	0	0	1	0	1
expressions	0	0	0	1	0	1
clock	0	0	0	1	0	1
dribble	0	0	0	1	0	1
voice	0	0	0	1	0	1
hasflex	0	0	0	1	0	1
al	1	0	0	0	0	1
blg	1	0	0	0	0	1
costreamer	1	0	0	0	0	1
caedral	1	0	0	0	0	1
heh	1	0	0	0	0	1
larps	1	0	0	0	0	1
azzapush	1	0	0	0	0	1
lois	1	0	0	0	0	1
lesgo	1	0	0	0	0	1
baby	0	0	0	1	0	1
knick	0	0	0	1	0	1
prob	0	0	0	1	0	1
liege	1	0	0	0	0	1
azzastacked	1	0	0	0	0	1
pairing	1	0	0	0	0	1
plan	1	0	0	0	0	1
azzapog	1	0	0	0	0	1
incomming	1	0	0	0	0	1
winstreak	1	0	0	0	0	1
selfish	1	0	0	0	0	1
engage	1	0	0	0	0	1
warriors	0	0	0	1	0	1
painful	0	0	0	1	0	1
smells	0	0	0	1	0	1
attempt	0	0	0	1	0	1
layup	0	0	0	1	0	1
bumped	0	0	0	1	0	1
foul	0	0	0	1	0	1
hassammie	0	0	0	1	0	1
lfg	0	0	0	1	0	1
uwuree	0	0	0	1	0	1
hasanabi	0	0	0	1	0	1
stretch	0	0	0	1	0	1
doubling	0	0	0	1	0	1
hospital	0	0	0	1	0	1
deserved	0	0	0	1	0	1
men	0	0	0	1	0	1
claudia	0	0	0	1	0	1
island	0	0	0	1	0	1
spurs	0	0	0	1	0	1
upset	0	0	0	1	0	1
championship	0	0	0	1	0	1
lead	0	0	0	1	0	1
blew	0	0	0	1	0	1
tie	0	0	0	1	0	1
silva	0	0	0	1	0	1
commentary	0	0	0	1	0	1
blocking	0	0	0	1	0	1
helping	0	0	0	1	0	1
sydrome	0	0	0	1	0	1
mc	0	0	0	1	0	1
turnover	0	0	0	1	0	1
cyring	0	0	0	1	0	1
lospeepos	0	0	0	1	0	1
factor	0	0	0	1	0	1
deciding	0	0	0	1	0	1
deaaron	0	0	0	1	0	1
inbound	0	0	0	1	0	1
guarding	0	0	0	1	0	1
fts	0	0	0	1	0	1
vista	1	0	0	0	0	1
pasta	1	0	0	0	0	1
madge	1	0	0	0	0	1
fu	1	0	0	0	0	1
pig	1	0	0	0	0	1
smile	1	0	0	0	0	1
teach	1	0	0	0	0	1
toughy	1	0	0	0	0	1
mac	1	0	0	0	0	1
roughy	1	0	0	0	0	1
wtaf	1	0	0	0	0	1
gn	1	0	0	0	0	1
praige	1	0	0	0	0	1
ornn	1	0	0	0	0	1
ukrain	1	0	0	0	0	1
wrinkled	0	0	0	1	0	1
plz	0	0	0	1	0	1
lwgobicool	0	0	0	1	0	1
piz	0	0	0	1	0	1
widehardo	0	0	0	1	0	1
menu	0	0	0	1	0	1
cus	0	0	0	1	0	1
luteal	0	0	0	1	0	1
katchi	0	0	0	1	0	1
mic	0	0	0	1	0	1
lots	0	0	0	1	0	1
savage	0	0	0	1	0	1
omw	0	0	0	1	0	1
scawy	0	0	0	1	0	1
goated	1	0	0	0	0	1
ax	1	0	0	0	0	1
grandmaster	1	0	0	0	0	1
icl	0	0	0	1	0	1
raph	0	0	0	1	0	1
rakai	0	0	0	1	0	1
jason	0	0	0	1	0	1
culture	1	0	0	0	0	1
hahasweat	1	0	0	0	0	1
alfredo	1	0	0	0	0	1
cursed	1	0	0	0	0	1
shoe	1	0	0	0	0	1
aloiss	1	0	0	0	0	1
losers	1	0	0	0	0	1
roughshod	1	0	0	0	0	1
diana	0	0	0	1	0	1
locker	0	0	0	1	0	1
safer	0	0	0	1	0	1
katchiihdmi	0	0	0	1	0	1
boutta	0	0	0	1	0	1
zoil	0	0	0	1	0	1
viet	0	0	0	1	0	1
beerobox	0	0	0	1	0	1
everyround	0	0	0	1	0	1
reksai	1	0	0	0	0	1
echo	1	0	0	0	0	1
whoa	1	0	0	0	0	1
piggy	1	0	0	0	0	1
piggys	1	0	0	0	0	1
hallo	1	0	0	0	0	1
ron	0	0	0	1	0	1
punch	0	0	0	1	0	1
seing	0	0	0	1	0	1
henny	0	0	0	1	0	1
puke	0	0	0	1	0	1
agist	0	0	0	1	0	1
ea	0	0	0	1	0	1
silky	0	0	0	1	0	1
kaichhu	0	0	0	1	0	1
spending	1	0	0	0	0	1
zaapzaap	1	0	0	0	0	1
azzapperpendicular	1	0	0	0	0	1
raidd	1	0	0	0	0	1
fiora	1	0	0	0	0	1
beating	1	0	0	0	0	1
azzap	1	0	0	0	0	1
jg	1	0	0	0	0	1
oop	0	0	0	1	0	1
tko	0	0	0	1	0	1
shotgun	0	0	0	1	0	1
bruce	0	0	0	1	0	1
woulda	0	0	0	1	0	1
wd	0	0	0	1	0	1
stinky	0	0	0	1	0	1
latery	0	0	0	1	0	1
butt	0	0	0	1	0	1
crct	0	0	0	1	0	1
auto	0	0	0	1	0	1
lurk	0	0	0	1	0	1
hammered	0	0	0	1	0	1
bros	0	0	0	1	0	1
hotdog	0	0	0	1	0	1
johnniegraceehappy	0	0	0	1	0	1
yt	0	0	0	1	0	1
beccas	0	0	0	1	0	1
justice	0	0	0	1	0	1
pausing	0	0	0	1	0	1
laughed	0	0	0	1	0	1
crackking	0	0	0	1	0	1
brag	0	0	0	1	0	1
commands	0	0	0	1	0	1
joes	0	0	0	1	0	1
awe	0	0	0	1	0	1
nvn	0	0	0	1	0	1
accurate	0	0	0	1	0	1
yedish	0	0	0	1	0	1
shammning	0	0	0	1	0	1
ocmments	0	0	0	1	0	1
large	0	0	0	1	0	1
tuchus	0	0	0	1	0	1
loosing	0	0	0	1	0	1
def	0	0	0	1	0	1
wtff	0	0	0	1	0	1
freewill	0	0	0	1	0	1
excellent	0	0	0	1	0	1
laughj	0	0	0	1	0	1
caseoh	0	0	0	1	0	1
perpendicular	1	0	0	0	0	1
coaching	1	0	0	0	0	1
anyones	1	0	0	0	0	1
riven	1	0	0	0	0	1
sheen	1	0	0	0	0	1
insightsggaloisnl	1	0	0	0	0	1
footage	1	0	0	0	0	1
review	1	0	0	0	0	1
easiest	1	0	0	0	0	1
donce	1	0	0	0	0	1
damaged	1	0	0	0	0	1
healthyn	1	0	0	0	0	1
omescrajj	0	0	0	1	0	1
heat	0	0	0	1	0	1
uuhuu	0	0	0	1	0	1
randomkid	0	0	0	1	0	1
zlatan	0	0	0	1	0	1
eaid	0	0	0	1	0	1
fcked	0	0	0	1	0	1
drew	0	0	0	1	0	1
thugs	0	0	0	1	0	1
strokes	0	0	0	1	0	1
dfdfdfsfdf	0	0	0	1	0	1
mouths	0	0	0	1	0	1
vvfvfd	0	0	0	1	0	1
rest	0	0	0	1	0	1
nijja	0	0	0	1	0	1
marlgmarrizz	0	0	0	1	0	1
reset	0	0	0	1	0	1
audio	0	0	0	1	0	1
fym	0	0	0	1	0	1
arks	0	0	0	1	0	1
glitched	0	0	0	1	0	1
relate	1	0	0	0	0	1
relationship	1	0	0	0	0	1
broke	1	0	0	0	0	1
lebronjam	1	0	0	0	0	1
costs	1	0	0	0	0	1
onlysecond	1	0	0	0	0	1
airbornecooldown	1	0	0	0	0	1
wallshas	1	0	0	0	0	1
unstoppablea	1	0	0	0	0	1
teammates	1	0	0	0	0	1
omega	1	0	0	0	0	1
suck	0	0	0	1	0	1
maladies	0	0	0	1	0	1
hexes	0	0	0	1	0	1
cast	0	0	0	1	0	1
gamba	0	0	0	1	0	1
hollon	0	0	0	1	0	1
exact	0	0	0	1	0	1
discount	0	0	0	1	0	1
custom	0	0	0	1	0	1
beast	0	0	0	1	0	1
toonzk	0	0	0	1	0	1
kekwait	0	0	0	1	0	1
expensive	0	0	0	1	0	1
mogged	0	0	0	1	0	1
er	0	0	0	1	0	1
fort	0	0	0	1	0	1
promising	0	0	0	1	0	1
youve	0	0	0	1	0	1
vedalheart	0	0	0	1	0	1
experience	0	0	0	1	0	1
evilest	0	0	0	1	0	1
smart	0	0	0	1	0	1
fakest	1	0	0	0	0	1
dash	1	0	0	0	0	1
peepolove	1	0	0	0	0	1
ocean	1	0	0	0	0	1
songsadaribbean	1	0	0	0	0	1
kasnate	1	0	0	0	0	1
trick	1	0	0	0	0	1
cuteness	0	0	0	1	0	1
weapon	0	0	0	1	0	1
ultimate	0	0	0	1	0	1
sus	0	0	0	1	0	1
evilflooshed	0	0	0	1	0	1
databasegayge	0	0	0	1	0	1
drunk	0	0	0	1	0	1
yapper	0	0	0	1	0	1
sahr	1	0	0	0	0	1
endrek	1	0	0	0	0	1
control	1	0	0	0	0	1
titans	1	0	0	0	0	1
eldrazi	1	0	0	0	0	1
kozilek	1	0	0	0	0	1
weird	1	0	0	0	0	1
glissa	1	0	0	0	0	1
baj	0	0	0	1	0	1
yesterday	0	0	0	1	0	1
vtubers	0	0	0	1	0	1
streets	0	0	0	1	0	1
mimicking	0	0	0	1	0	1
defending	0	0	0	1	0	1
bracket	1	0	0	0	0	1
stacked	1	0	0	0	0	1
balanced	1	0	0	0	0	1
ults	1	0	0	0	0	1
resistances	1	0	0	0	0	1
cmon	1	0	0	0	0	1
referencce	1	0	0	0	0	1
ihaveno	1	0	0	0	0	1
vhagarchamp	0	0	0	1	0	1
unwelcome	0	0	0	1	0	1
society	0	0	0	1	0	1
christian	0	0	0	1	0	1
notee	0	0	0	1	0	1
heads	0	0	0	1	0	1
burried	0	0	0	1	0	1
countries	0	0	0	1	0	1
burned	0	0	0	1	0	1
ambusiing	1	0	0	0	0	1
item	1	0	0	0	0	1
pen	1	0	0	0	0	1
insta	1	0	0	0	0	1
nasir	1	0	0	0	0	1
communities	0	0	0	1	0	1
olds	0	0	0	1	0	1
schmidt	0	0	0	1	0	1
kid	0	0	0	1	0	1
pattern	0	0	0	1	0	1
widespread	0	0	0	1	0	1
jubilate	0	0	0	1	0	1
status	0	0	0	1	0	1
refugee	0	0	0	1	0	1
sudan	0	0	0	1	0	1
vicious	0	0	0	1	0	1
precisely	0	0	0	1	0	1
accent	0	0	0	1	0	1
hurts	0	0	0	1	0	1
animal	0	0	0	1	0	1
pitbull	0	0	0	1	0	1
animals	0	0	0	1	0	1
adopt	0	0	0	1	0	1
open	0	0	0	1	0	1
crusades	0	0	0	1	0	1
coffezilla	0	0	0	1	0	1
cover	0	0	0	1	0	1
ostridges	0	0	0	1	0	1
grief	0	0	0	1	0	1
target	0	0	0	1	0	1
burn	0	0	0	1	0	1
peaceful	0	0	0	1	0	1
refugees	0	0	0	1	0	1
resolved	0	0	0	1	0	1
wars	0	0	0	1	0	1
complete	0	0	0	1	0	1
wheeling	0	0	0	1	0	1
lvl	0	0	0	1	0	1
cultist	0	0	0	1	0	1
mind	0	0	0	1	0	1
populace	0	0	0	1	0	1
targeting	0	0	0	1	0	1
rundown	0	0	0	1	0	1
temples	0	0	0	1	0	1
paul	0	0	0	1	0	1
british	0	0	0	1	0	1
speaks	0	0	0	1	0	1
brings	0	0	0	1	0	1
refuse	1	0	0	0	0	1
stalin	1	0	0	0	0	1
tching	1	0	0	0	0	1
goatr	1	0	0	0	0	1
hambuhguh	1	0	0	0	0	1
iirc	1	0	0	0	0	1
aniqtoohigh	1	0	0	0	0	1
peers	0	0	0	1	0	1
ruin	0	0	0	1	0	1
libtards	0	0	0	1	0	1
scotland	0	0	0	1	0	1
govt	0	0	0	1	0	1
stabbed	0	0	0	1	0	1
kindergarten	0	0	0	1	0	1
small	0	0	0	1	0	1
controling	0	0	0	1	0	1
leftwoke	0	0	0	1	0	1
circumstances	0	0	0	1	0	1
created	0	0	0	1	0	1
wedidthat	0	0	0	1	0	1
set	0	0	0	1	0	1
blind	0	0	0	1	0	1
invite	0	0	0	1	0	1
immigrants	0	0	0	1	0	1
pakistani	0	0	0	1	0	1
girls	0	0	0	1	0	1
targetted	0	0	0	1	0	1
kessler	0	0	0	1	0	1
governement	0	0	0	1	0	1
disgusting	0	0	0	1	0	1
judges	0	0	0	1	0	1
migrant	0	0	0	1	0	1
reality	0	0	0	1	0	1
uneducated	0	0	0	1	0	1
thinks	0	0	0	1	0	1
bozo	0	0	0	1	0	1
power	0	0	0	1	0	1
racist	0	0	0	1	0	1
retarts	0	0	0	1	0	1
fkn	0	0	0	1	0	1
dod	0	0	0	1	0	1
irish	0	0	0	1	0	1
foreigner	0	0	0	1	0	1
brazilian	0	0	0	1	0	1
prison	0	0	0	1	0	1
commits	0	0	0	1	0	1
west	0	0	0	1	0	1
longer	0	0	0	1	0	1
civilization	0	0	0	1	0	1
western	0	0	0	1	0	1
compatible	0	0	0	1	0	1
slop	0	0	0	1	0	1
propaganda	0	0	0	1	0	1
censoring	0	0	0	1	0	1
neck	0	0	0	1	0	1
sawing	0	0	0	1	0	1
fact	0	0	0	1	0	1
prayge	0	0	0	1	0	1
yearly	0	0	0	1	0	1
prioritizing	0	0	0	1	0	1
asian	0	0	0	1	0	1
childhood	0	0	0	1	0	1
shouldnt	0	0	0	1	0	1
complicit	0	0	0	1	0	1
consequences	0	0	0	1	0	1
communistic	0	0	0	1	0	1
migrants	0	0	0	1	0	1
posts	0	0	0	1	0	1
sentencing	0	0	0	1	0	1
news	0	0	0	1	0	1
daily	0	0	0	1	0	1
clothing	0	0	0	1	0	1
sheeps	0	0	0	1	0	1
wolf	0	0	0	1	0	1
tribalism	0	0	0	1	0	1
howdy	0	0	0	1	0	1
perpetrators	0	0	0	1	0	1
politicians	0	0	0	1	0	1
pepew	0	0	0	1	0	1
identical	0	0	0	1	0	1
christianity	0	0	0	1	0	1
piggies	1	0	0	0	0	1
blonde	1	0	0	0	0	1
skinny	1	0	0	0	0	1
djset	1	0	0	0	0	1
pre	1	0	0	0	0	1
sending	1	0	0	0	0	1
weed	1	0	0	0	0	1
agree	0	0	0	1	0	1
passionate	0	0	0	1	0	1
condemn	0	0	0	1	0	1
descent	0	0	0	1	0	1
protects	0	0	0	1	0	1
law	0	0	0	1	0	1
american	0	0	0	1	0	1
native	0	0	0	1	0	1
riots	0	0	0	1	0	1
blm	0	0	0	1	0	1
supposed	0	0	0	1	0	1
kingsmnext	0	0	0	1	0	1
kingsmgo	0	0	0	1	0	1
kingsmgg	0	0	0	1	0	1
triggers	0	0	0	1	0	1
innocence	0	0	0	1	0	1
races	0	0	0	1	0	1
align	0	0	0	1	0	1
teens	0	0	0	1	0	1
convent	0	0	0	1	0	1
replied	0	0	0	0	1	1
wsg	0	0	0	0	1	1
val	0	0	0	0	1	1
planned	0	0	0	0	1	1
unban	0	0	0	0	1	1
somp	0	0	0	0	1	1
runs	0	0	0	0	1	1
relgions	0	0	0	1	0	1
zones	0	0	0	1	0	1
shocked	0	0	0	1	0	1
brown	0	0	0	1	0	1
infiltrated	0	0	0	1	0	1
democracy	0	0	0	1	0	1
restore	0	0	0	1	0	1
return	0	0	0	1	0	1
kings	0	0	0	1	0	1
shits	1	0	0	0	0	1
lived	1	0	0	0	0	1
gooned	1	0	0	0	0	1
pogu	1	0	0	0	0	1
rubbw	1	0	0	0	0	1
goon	1	0	0	0	0	1
stalking	1	0	0	0	0	1
sung	1	0	0	0	0	1
colors	1	0	0	0	0	1
fav	1	0	0	0	0	1
realise	1	0	0	0	0	1
ygra	1	0	0	0	0	1
decks	1	0	0	0	0	1
precons	1	0	0	0	0	1
bloomburrow	1	0	0	0	0	1
raising	0	0	0	0	1	1
subscriberrunescape	0	0	0	0	1	1
miykuavipmonth	0	0	0	0	1	1
lend	0	0	0	0	1	1
rsolution	0	0	0	0	1	1
noice	0	0	0	0	1	1
gangy	0	0	0	0	1	1
firework	0	0	0	0	1	1
contacts	0	0	0	0	1	1
sofisomby	0	0	0	0	1	1
dihlights	0	0	0	0	1	1
led	0	0	0	0	1	1
whyppie	0	0	0	0	1	1
oops	0	0	0	0	1	1
helps	0	0	0	0	1	1
fee	0	0	0	0	1	1
giggles	1	0	0	0	0	1
dinner	0	0	0	0	1	1
broomstick	0	0	0	0	1	1
ure	0	0	0	0	1	1
bits	0	0	0	0	1	1
cani	0	0	0	0	1	1
chats	0	0	0	0	1	1
switching	0	0	0	0	1	1
pissing	0	0	0	0	1	1
demons	0	0	0	0	1	1
gyal	0	0	0	0	1	1
aiming	0	0	0	0	1	1
bieber	0	0	0	0	1	1
oozing	0	0	0	0	1	1
shyt	0	0	0	0	1	1
nihao	0	0	0	0	1	1
skulldelights	0	0	0	0	1	1
hiya	0	0	0	0	1	1
mama	0	0	0	0	1	1
letswin	0	0	0	0	1	1
rhythia	0	0	0	0	1	1
lft_tenkofps	0	0	0	0	1	1
bats	0	0	0	0	1	1
bat	0	0	0	0	1	1
tight	0	0	0	0	1	1
gabbar	0	0	0	0	1	1
muscles	0	0	0	0	1	1
tuff	0	0	0	0	1	1
outlines	0	0	0	0	1	1
green	0	0	0	0	1	1
size	0	0	0	0	1	1
dot	0	0	0	0	1	1
whitw	0	0	0	0	1	1
consume	1	0	0	0	0	1
dats	1	0	0	0	0	1
anuncios	1	0	0	0	0	1
segundos	1	0	0	0	0	1
poner	1	0	0	0	0	1
acaba	1	0	0	0	0	1
gigachad	1	0	0	0	0	1
creation	1	0	0	0	0	1
emojis	1	0	0	0	0	1
copypaste	1	0	0	0	0	1
zaayum	1	0	0	0	0	1
winrate	1	0	0	0	0	1
entire	1	0	0	0	0	1
operas	1	0	0	0	0	1
ghetto	1	0	0	0	0	1
boy	1	0	0	0	0	1
knew	0	0	0	0	1	1
meses	0	0	0	0	1	1
volver	0	0	0	0	1	1
hacelo	0	0	0	0	1	1
llores	0	0	0	0	1	1
rubblife	0	0	0	0	1	1
verycat	0	0	0	0	1	1
teasing	0	0	0	0	1	1
verde	0	0	0	0	1	1
conocido	0	0	0	0	1	1
hubiera	0	0	0	0	1	1
juans	0	0	0	0	1	1
gigl	0	0	0	0	1	1
vegetta	0	0	0	0	1	1
split	0	0	0	0	1	1
alcohol	1	0	0	0	0	1
pointing	0	0	0	0	1	1
thanyou	0	0	0	0	1	1
standing	0	0	0	0	1	1
hh	0	0	0	0	1	1
sicko	0	0	0	0	1	1
chest	0	0	0	0	1	1
angst	0	0	0	0	1	1
kelpamine	0	0	0	0	1	1
sadss	0	0	0	0	1	1
hypelove	0	0	0	0	1	1
holaa	0	0	0	0	1	1
fuch	0	0	0	0	1	1
ssaj	0	0	0	0	1	1
stopp	0	0	0	0	1	1
prank	0	0	0	0	1	1
bawling	0	0	0	0	1	1
maps	0	0	0	0	1	1
sen	0	0	0	0	1	1
toolkit	0	0	0	0	1	1
invest	0	0	0	0	1	1
obv	0	0	0	0	1	1
survivor	1	0	0	0	0	1
tiger	1	0	0	0	0	1
oomg	1	0	0	0	0	1
geil	1	0	0	0	0	1
internet	1	0	0	0	0	1
fps	1	0	0	0	0	1
deluxer	1	0	0	0	0	1
paketloss	1	0	0	0	0	1
teleporting	1	0	0	0	0	1
spikes	1	0	0	0	0	1
ye	0	0	0	0	1	1
turkish	0	0	0	0	1	1
trolled	0	0	0	0	1	1
itw	0	0	0	0	1	1
haven	0	0	0	0	1	1
fairs	0	0	0	0	1	1
hero	0	0	0	0	1	1
jinx	0	0	0	0	1	1
puchan	0	0	0	0	1	1
gofns	0	0	0	0	1	1
stairway	0	0	0	0	1	1
qing	0	0	0	0	1	1
duo	0	0	0	0	1	1
defense	0	0	0	0	1	1
earlyt	0	0	0	0	1	1
vt	0	0	0	0	1	1
pearl	0	0	0	0	1	1
ui	0	0	0	0	1	1
android	0	0	0	0	1	1
iphones	0	0	0	0	1	1
final	0	0	0	0	1	1
upper	0	0	0	0	1	1
ms	1	0	0	0	0	1
avengers	1	0	0	0	0	1
happydhappy	1	0	0	0	0	1
heren	1	0	0	0	0	1
ldr	1	0	0	0	0	1
hexoptics	1	0	0	0	0	1
buts	1	0	0	0	0	1
emea	0	0	0	0	1	1
optic	0	0	0	0	1	1
wakes	0	0	0	0	1	1
derke	0	0	0	0	1	1
sister	0	0	0	0	1	1
navi	0	0	0	0	1	1
lilbro	0	0	0	0	1	1
socialbee	0	0	0	0	1	1
larping	0	0	0	0	1	1
cutches	0	0	0	0	1	1
thee	0	0	0	0	1	1
convert	0	0	0	0	1	1
bruv	0	0	0	0	1	1
sopp	0	0	0	0	1	1
star	0	0	0	0	1	1
duh	0	0	0	0	1	1
chronicle	0	0	0	0	1	1
lpayoffs	0	0	0	0	1	1
easier	0	0	0	0	1	1
friendly	0	0	0	0	1	1
sunday	0	0	0	0	1	1
kitten	0	0	0	0	1	1
yrs	0	0	0	0	1	1
fis	1	0	0	0	0	1
nash	1	0	0	0	0	1
bull	1	0	0	0	0	1
jihn	1	0	0	0	0	1
vayne	1	0	0	0	0	1
tristana	1	0	0	0	0	1
deliver	1	0	0	0	0	1
position	0	0	0	0	1	1
tolerate	0	0	0	0	1	1
care	0	0	0	0	1	1
survived	0	0	0	0	1	1
backyard	0	0	0	0	1	1
kittens	0	0	0	0	1	1
birth	0	0	0	0	1	1
passing	0	0	0	0	1	1
process	0	0	0	0	1	1
birthed	0	0	0	0	1	1
joshsekisadge	0	0	0	0	1	1
rescued	0	0	0	0	1	1
birthday	0	0	0	0	1	1
joshseki	0	0	0	0	1	1
syndrome	0	0	0	0	1	1
imposter	0	0	0	0	1	1
eggs	0	0	0	0	1	1
females	0	0	0	0	1	1
angel	0	0	0	0	1	1
male	0	0	0	0	1	1
vet	0	0	0	0	1	1
pairwouldnt	0	0	0	0	1	1
vv	0	0	0	0	1	1
treasure	0	0	0	0	1	1
plau	0	0	0	0	1	1
desks	1	0	0	0	0	1
chairs	1	0	0	0	0	1
butdont	1	0	0	0	0	1
labx	1	0	0	0	0	1
setup	1	0	0	0	0	1
tx	1	0	0	0	0	1
partner	1	0	0	0	0	1
agaiin	1	0	0	0	0	1
rolled	1	0	0	0	0	1
takenrg	0	0	0	0	1	1
basically	0	0	0	0	1	1
twerking	0	0	0	0	1	1
stayed	0	0	0	0	1	1
exam	0	0	0	0	1	1
fuccking	0	0	0	0	1	1
tomorrow	0	0	0	0	1	1
circle	0	0	0	0	1	1
odd	0	0	0	0	1	1
loona	0	0	0	0	1	1
prequel	0	0	0	0	1	1
character	0	0	0	0	1	1
chloe	0	0	0	0	1	1
deeper	0	0	0	0	1	1
dives	0	0	0	0	1	1
joshsekilove	0	0	0	0	1	1
lis	0	0	0	0	1	1
submissions	0	0	0	0	1	1
art	0	0	0	0	1	1
tomodachi	0	0	0	0	1	1
bomb	0	0	0	0	1	1
hydrogen	0	0	0	0	1	1
dexteritycs	0	0	0	0	1	1
sadwei	0	0	0	0	1	1
poopin	0	0	0	0	1	1
trickk	0	0	0	0	1	1
sm	0	0	0	0	1	1
continue	0	0	0	0	1	1
dms	0	0	0	0	1	1
rich	0	0	0	0	1	1
alevel	0	0	0	0	1	1
hehe	0	0	0	0	1	1
risky	0	0	0	0	1	1
tenz	0	0	0	0	1	1
temu	0	0	0	0	1	1
wasted	0	0	0	0	1	1
udon	0	0	0	0	1	1
replaced	0	0	0	0	1	1
nrgs	0	0	0	0	1	1
bored	0	0	0	0	1	1
lonely	0	0	0	0	1	1
differentiation	0	0	0	0	1	1
smcs	0	0	0	0	1	1
sam	0	0	0	0	1	1
peanut	0	0	0	0	1	1
worries	0	0	0	0	1	1
jumpscare	0	0	0	0	1	1
socials	0	0	0	0	1	1
pooper	0	0	0	0	1	1
oml	0	0	0	0	1	1
child	0	0	0	0	1	1
coughing	0	0	0	0	1	1
sms	0	0	0	0	1	1
pred	0	0	0	0	1	1
luke	0	0	0	0	1	1
differential	0	0	0	0	1	1
jett	0	0	0	0	1	1
pon	1	0	0	0	0	1
hacerlo	1	0	0	0	0	1
como	1	0	0	0	0	1
sabes	1	0	0	0	0	1
sendoshy	1	0	0	0	0	1
usando	1	0	0	0	0	1
canal	1	0	0	0	0	1
este	1	0	0	0	0	1
gratuita	1	0	0	0	0	1
completamente	1	0	0	0	0	1
forma	1	0	0	0	0	1
edg	0	0	0	0	1	1
crack	0	0	0	0	1	1
tweet	0	0	0	0	1	1
benched	0	0	0	0	1	1
apyame	1	0	0	0	0	1
suscrbete	1	0	0	0	0	1
subscriberino	1	0	0	0	0	1
noob	1	0	0	0	0	1
deeplol	1	0	0	0	0	1
catdespair	1	0	0	0	0	1
gogogo	1	0	0	0	0	1
slendo	1	0	0	0	0	1
genderfluidpride	0	0	0	0	1	1
spot	0	0	0	0	1	1
logitech	0	0	0	0	1	1
preds	0	0	0	0	1	1
rail	0	0	0	0	1	1
soop	0	0	0	0	1	1
woudl	0	0	0	0	1	1
belongs	0	0	0	0	1	1
thinking	1	0	0	0	0	1
mb	1	0	0	0	0	1
boosted	1	0	0	0	0	1
panth	1	0	0	0	0	1
mistaken	1	0	0	0	0	1
dih	0	0	0	0	1	1
maxxin	0	0	0	0	1	1
xeus	0	0	0	0	1	1
rider	0	0	0	0	1	1
zeus	0	0	0	0	1	1
hatewatching	0	0	0	0	1	1
daddy	0	0	0	0	1	1
phoenix	0	0	0	0	1	1
thefanov	0	0	0	0	1	1
thayonara	0	0	0	0	1	1
yday	0	0	0	0	1	1
ooh	0	0	0	0	1	1
scoreboard	0	0	0	0	1	1
ugly	0	0	0	0	1	1
op	0	0	0	0	1	1
widespeedlemon	0	0	0	0	1	1
rahh	0	0	0	0	1	1
vietnam	0	0	0	0	1	1
rtrt	0	0	0	0	1	1
reminds	0	0	0	0	1	1
rrq	0	0	0	0	1	1
shanks	0	0	0	0	1	1
valorant	0	0	0	0	1	1
career	0	0	0	0	1	1
loversrock	0	0	0	0	1	1
tournamenr	0	0	0	0	1	1
spectating	1	0	0	0	0	1
entrar	1	0	0	0	0	1
acabo	1	0	0	0	0	1
playoffs	1	0	0	0	0	1
plata	1	0	0	0	0	1
coachin	1	0	0	0	0	1
hazme	1	0	0	0	0	1
paquetes	1	0	0	0	0	1
esa	1	0	0	0	0	1
liguilla	1	0	0	0	0	1
thos	0	0	0	0	1	1
duelists	0	0	0	0	1	1
patch	0	0	0	0	1	1
akshan	1	0	0	0	0	1
shieldbow	1	0	0	0	0	1
path	1	0	0	0	0	1
revitalize	1	0	0	0	0	1
returns	1	0	0	0	0	1
grocery	1	0	0	0	0	1
titiulo	1	0	0	0	0	1
weekend	0	0	0	0	1	1
shroud	0	0	0	0	1	1
dominic	0	0	0	0	1	1
eny	0	0	0	0	1	1
molested	0	0	0	0	1	1
rifler	0	0	0	0	1	1
nc	0	0	0	0	1	1
envy	0	0	0	0	1	1
bums	0	0	0	0	1	1
jamppi	0	0	0	0	1	1
yelltujey	0	0	0	0	1	1
slugcheck	0	0	0	0	1	1
mendoza	0	0	0	0	1	1
wowe	0	0	0	0	1	1
nolook	0	0	0	0	1	1
women	0	0	0	0	1	1
lnk_	0	0	0	0	1	1
damnn	0	0	0	0	1	1
guest	0	0	0	0	1	1
oi	0	0	0	0	1	1
slug	0	0	0	0	1	1
yinsus	0	0	0	0	1	1
dejate	1	0	0	0	0	1
tetin	1	0	0	0	0	1
shen	1	0	0	0	0	1
sumn	0	0	0	0	1	1
interesting	0	0	0	0	1	1
glitch	0	0	0	0	1	1
goats	0	0	0	0	1	1
natan	0	0	0	0	1	1
tabbed	0	0	0	0	1	1
venue	0	0	0	0	1	1
domi	0	0	0	0	1	1
byee	0	0	0	0	1	1
